Name,Title,Company,Person_Location,Company_HQ,Funding_Stage,Uses_InVitro_Tech,Open_to_NAMs,Recent_Publication,Publication_Topic,Email,LinkedIn
Dr. Aarav Sharma,Director of Toxicology,BioPharmaX,Boston,Cambridge MA,Series B,Yes,Yes,Yes,Drug-Induced Liver Injury,aarav.sharma@biopharmax.com,https://linkedin.com/in/aaravsharma
Dr. Vihaan Verma,Head of Preclinical Safety,OncoNova,Bay Area,Bay Area,Series A,Yes,Yes,No,,vihaan.verma@onconova.com,https://linkedin.com/in/vihaanverma
Dr. Aditya Reddy,Senior Scientist,LiverTech,New York,Boston,Seed,Yes,No,Yes,Hepatic Spheroids,aditya.reddy@livertech.com,https://linkedin.com/in/adityareddy
Dr. Rohan Patel,VP Preclinical Research,NeuroGen,Boston,Cambridge MA,Series C,Yes,Yes,Yes,3D Cell Culture,rohan.patel@neurogen.com,https://linkedin.com/in/rohanpatel
Dr. Karan Iyer,Junior Scientist,EarlyBio,Remote (Texas),New York,No Funding,No,No,No,,karan.iyer@earlybio.com,https://linkedin.com/in/karaniyer
Dr. Arjun Gupta,Principal Scientist,PharmaNext,Boston,Boston,Series B,Yes,Yes,Yes,Investigative Toxicology,arjun.gupta@pharmanext.com,https://linkedin.com/in/arjungupta
Dr. Rahul Mehta,Senior Scientist,GenCell,Bay Area,Bay Area,Series A,Yes,No,Yes,Organ-on-Chip,rahul.mehta@gencell.com,https://linkedin.com/in/rahulmehta
Dr. Siddharth Singh,Research Associate,UniHealth,London,London,Grant Funded,No,Yes,Yes,3D Cell Culture,siddharth.singh@unihealth.ac.uk,https://linkedin.com/in/siddharthsingh
Dr. Ananya Sharma,Director of Safety Assessment,BioCore,Basel,Basel,Series B,Yes,Yes,Yes,Drug Safety Evaluation,ananya.sharma@biocore.ch,https://linkedin.com/in/ananyasharma
Dr. Priya Verma,Postdoctoral Researcher,MedUni,Singapore,Singapore,Grant Funded,No,Yes,No,,priya.verma@meduni.edu.sg,https://linkedin.com/in/priyaverma
Dr. Kavya Reddy,Senior Scientist,BioPharmaX,Boston,Cambridge MA,Series B,Yes,Yes,Yes,Hepatic Spheroids,kavya.reddy@biopharmax.com,https://linkedin.com/in/kavyareddy
Dr. Isha Patel,Junior Scientist,EarlyBio,New York,New York,No Funding,No,No,No,,isha.patel@earlybio.com,https://linkedin.com/in/ishapatel
Dr. Neha Iyer,Principal Scientist,PharmaNext,Boston,Boston,Series B,Yes,Yes,Yes,3D Cell Culture,neha.iyer@pharmanext.com,https://linkedin.com/in/nehaiyer
Dr. Pooja Gupta,Senior Scientist,LiverTech,Bay Area,Boston,Series A,Yes,No,Yes,Drug-Induced Liver Injury,pooja.gupta@livertech.com,https://linkedin.com/in/poojagupta
Dr. Aditi Mehta,Research Associate,UniHealth,London,London,Grant Funded,No,Yes,Yes,Organ-on-Chip,aditi.mehta@unihealth.ac.uk,https://linkedin.com/in/aditimehta
Dr. Shreya Singh,Senior Scientist,NeuroGen,Boston,Cambridge MA,Series C,Yes,Yes,Yes,Investigative Toxicology,shreya.singh@neurogen.com,https://linkedin.com/in/shreyasingh
Dr. Rakesh Kumar,Director of Toxicology,GenCell,Boston,Bay Area,Series B,Yes,Yes,Yes,Drug-Induced Liver Injury,rakesh.kumar@gencell.com,https://linkedin.com/in/rakeshkumar
Dr. Sneha Nair,Senior Scientist,BioCore,Basel,Basel,Series B,Yes,No,Yes,3D Cell Culture,sneha.nair@biocore.ch,https://linkedin.com/in/snehanair
Dr. Aman Joshi,Research Associate,UniHealth,London,London,Grant Funded,No,Yes,No,,aman.joshi@unihealth.ac.uk,https://linkedin.com/in/amanjoshi
Dr. Mehul Shah,VP Preclinical Research,PharmaNext,Boston,Boston,Series C,Yes,Yes,Yes,Organ-on-Chip,mehul.shah@pharmanext.com,https://linkedin.com/in/mehulshah
Dr. Nisha Malhotra,Principal Scientist,BioPharmaX,Bay Area,Cambridge MA,Series B,Yes,Yes,Yes,Hepatic Spheroids,nisha.malhotra@biopharmax.com,https://linkedin.com/in/nishamalhotra
